id,image_id,label_content_updated_at,vendor_source_id,vendor_project_id,datarow_id,label_url,,Audit status,Notes,Imerit Remarks,1,,,,,,,,,,,,,
64d2d15ca0bae7220cd6bf93,64d297ed576d72071860af72,2023-08-10T11:22:07.557Z,cll51ulm20eit07wha30w36xh,cll2xu6960ekt07225z11856e,cll2xwp5p0qqs075dgppf4ps2,https://app.labelbox.com/projects/cll2xu6960ekt07225z11856e/data-rows/cll2xwp5p0qqs075dgppf4ps2,Stewart,fixed,"unlabeled, ",,,,,,,,,,,,,,,
64da56bd0257947524057503,64d3f460597d9cfe17f40ce5,2023-08-16T00:49:54.045Z,clld0f2rq0c0b07zzdqaw5xuw,cllb3381q0nah07z06mls0isn,cllb3df5wfsge08bwc5jr7f2h,https://app.labelbox.com/projects/cllb3381q0nah07z06mls0isn/data-rows/cllb3df5wfsge08bwc5jr7f2h,Stewart,fixed,changed trees to untilled field,,,,,,,,,,,,,,,
64da56b602579475240572b0,64d3127d0c9a31129820ccea,2023-08-16T01:58:14.792Z,clld21ei20gt707wx18xjh4a9,cllb3381q0nah07z06mls0isn,cllb3df5z00fi07a047c939az,https://app.labelbox.com/projects/cllb3381q0nah07z06mls0isn/data-rows/cllb3df5z00fi07a047c939az,Stewart,fixed,changed roadside buffer to tall weeds,,,,,,,COUNTA of Audit status,Audit status,,,,,,,
64da56c502579475240577c1,64d5c6a1cdddad3864bfaa92,2023-08-16T08:14:06.302Z,clldeppz702bv07wb87c7caal,cllb3381q0nah07z06mls0isn,cllb3df76021u07a099mg3hq8,https://app.labelbox.com/projects/cllb3381q0nah07z06mls0isn/data-rows/cllb3df76021u07a099mg3hq8,Stewart,ok,ok,,,,,,,,fixed,Image processed but need to skip,incomplete,need label,need relabel,ok,skipped,Grand Total
64dc862a56dbde69a184ad9f,64d4361f77a3f6f6309d356a,2023-08-16T08:14:43.969Z,cllddlmbd00m607yq5mwt9vfg,cllb3381q0nah07z06mls0isn,cllb3df5yfsje08bwbjnhe5lr,https://app.labelbox.com/projects/cllb3381q0nah07z06mls0isn/data-rows/cllb3df5yfsje08bwbjnhe5lr,Stewart,ok,ok,,,,,,,Andrea,16,,,3,,65,10,94
64da56c002579475240575f6,64d454c04210b6d080dfaa2a,2023-08-16T09:16:20.739Z,clldic8fn00eb07zbcefuerls,cllb3381q0nah07z06mls0isn,cllb3df71fuem08bw05sa520e,https://app.labelbox.com/projects/cllb3381q0nah07z06mls0isn/data-rows/cllb3df71fuem08bw05sa520e,Stewart,ok,ok,,,,,,,Chandan Santra,6,,,,,57,,63
64da56c202579475240576d6,64d4b4814541bfabafb6843e,2023-08-16T09:47:39.913Z,clldhmnuy04ik07yq56aa0mck,cllb3381q0nah07z06mls0isn,cllb3df6t01bq07a0gy7x93u8,https://app.labelbox.com/projects/cllb3381q0nah07z06mls0isn/data-rows/cllb3df6t01bq07a0gy7x93u8,Stewart,fixed,changed roadside buffer to tall weeds,,,,,,,Divya Ashok Shinde,16,,,,,19,,35
64dca460b3a626edc73e302f,64d4ebf731b7ca582189d61f,2023-08-16T10:24:17.294Z,clldjhgoe0ovd08yr9ytv1l80,cllb3381q0nah07z06mls0isn,cllb3df6y01kq07a0enaccmmr,https://app.labelbox.com/projects/cllb3381q0nah07z06mls0isn/data-rows/cllb3df6y01kq07a0enaccmmr,Stewart,ok,ok,,,,,,,Geeta Irappa Kittur,35,,,,,26,,61
64dcb787666e78dedaec8e48,64d6b0a46ee204e859216965,2023-08-16T11:44:42.209Z,clldjgb2g06xq07y3571be90h,cllb3381q0nah07z06mls0isn,cllb3df7h02l207a02fq6atgy,https://app.labelbox.com/projects/cllb3381q0nah07z06mls0isn/data-rows/cllb3df7h02l207a02fq6atgy,Stewart,need relabel,Needs Labels,Valid Skip (foldeded impliement),,,,,,Gracy Rees Riwan,25,,,,9,108,,142
64dbec4db90c2997981f8a8d,64d2ac46bcb05e3b0205648a,2023-08-16T12:19:51.956Z,clldooo2j1q0u07yg8uci3b5s,cllct1oyg0ayu07z34pir0izo,cllct6h6015d4075e5aaxa0p8,https://app.labelbox.com/projects/cllct1oyg0ayu07z34pir0izo/data-rows/cllct6h6015d4075e5aaxa0p8,Stewart,ok,ok,,,,,,,Gulnaz Khatoon,14,,,,,103,,117
