,pred_dust_percent,speed_discrete,dust>50,dust>35,dust>25,dust>15,dust>5,collected_on_localtime,is_rev1,camera_location,camera_location_grouped,latitude,longitude,robot_name,operation_time,id,collected_on_localtime,speed_kph
181721,0.0,A:0-2,False,False,False,False,False,2023-05-23 13:03:03.443000-05:00,hitchhiker,T13,halo_side,38.70316469999999,-88.7955934,hitchhiker_112,daytime,6482133981397caf26d27c03,2023-05-23 13:03:03.443000-05:00,0.01953125
177491,0.0,B:2-10,False,False,False,False,False,2022-05-27 16:47:38.822000-05:00,hitchhiker,front-right-left,rev1_side_front,36.32718599999999,-119.5390247,hitchhiker_20,daytime,62d19c64b453368a20f6ba8a,2022-05-27 16:47:38.822000-05:00,9.390625
93410,0.0,C:10-25,False,False,False,False,False,2023-04-13 13:55:15.805000-05:00,hitchhiker,front-left-right,rev1_side_front,42.55024329999999,-96.6478466,hitchhiker_45,daytime,64a07080d38991046d4b3433,2023-04-13 13:55:15.805000-05:00,12.6171875
148640,0.0,B:2-10,False,False,False,False,False,2021-10-18 14:52:38.322000-05:00,hitchhiker,side-right-left,rev1_side_rear,41.63601929999999,-89.4230205,hitchhiker_04,daytime,61f4abba742da20db41125a6,2021-10-18 14:52:38.322000-05:00,8.30859375
106338,1.41448974609375,A:0-2,False,False,False,False,False,2022-06-30 16:44:32.836000-05:00,hitchhiker,side-right-right,rev1_side_rear,41.33090019999999,-104.0926424,hitchhiker_35,daytime,6364db84626121755c98ce69,2022-06-30 16:44:32.836000-05:00,0.01171875
181482,0.0,A:0-2,False,False,False,False,False,2022-06-11 12:30:58.860000-05:00,hitchhiker,front-left-left,rev1_side_front,36.18794409999999,-119.6981144,hitchhiker_20,daytime,6363600d31311b3c8c592f8d,2022-06-11 12:30:58.860000-05:00,0.0078125
59271,0.0,C:10-25,False,False,False,False,False,2022-05-13 14:07:31.599000-05:00,hitchhiker,front-left-left,rev1_side_front,35.78736209999999,-91.1998184,hitchhiker_30,daytime,62bd4e14eb6c58f4e39ac200,2022-05-13 14:07:31.599000-05:00,16.3515625
123384,0.0,B:2-10,False,False,False,False,False,2022-06-06 19:08:38.084000-05:00,hitchhiker,side-left-left,rev1_side_rear,35.78417659999999,-91.1747865,hitchhiker_31,daytime,636466035f14aea4b126a239,2022-06-06 19:08:38.084000-05:00,3.7109375
100098,0.0,A:0-2,False,False,False,False,False,2021-11-06 15:16:27.622000-05:00,loamy,front-right-right,rev1_side_front,43.57331879999998,-94.1257737,loamy_735,daytime,618f13f92276429a7e3d7260,2021-11-06 15:16:27.622000-05:00,0.00390625
57411,0.0,C:10-25,False,False,False,False,False,2022-02-17 14:50:11.307000-06:00,loamy,side-left-left,rev1_side_rear,36.1685431,-100.9005678,loamy_752,daytime,6280ded62ddc2e02ee841ed1,2022-02-17 14:50:11.307000-06:00,12.2578125
144823,0.0,A:0-2,False,False,False,False,False,2022-10-17 20:02:51.029000-05:00,loamy,front-right-right,rev1_side_front,43.60798039999999,-94.052934,loamy_731,nightime,6352edf78ebc22dc493ca165,2022-10-17 20:02:51.029000-05:00,0.00390625
31599,9.6435546875,B:2-10,False,False,False,False,True,2022-01-19 16:32:21.646000-06:00,loamy,rear-right,rev1_rear,32.48910719999998,-100.6710435,loamy_735,daytime,61fcf587d3e102e3750d6add,2022-01-19 16:32:21.646000-06:00,7.8046875
61697,0.0,B:2-10,False,False,False,False,False,2023-03-30 10:09:27.234000-05:00,loamy,front-right-right,rev1_side_front,39.52434319999999,-90.339022,loamy_812,daytime,64270d0a8d270ae7918ee097,2023-03-30 10:09:27.234000-05:00,9.5234375
61458,4.57763671875,B:2-10,False,False,False,False,False,2022-02-05 10:25:23.542000-06:00,loamy,rear-left,rev1_rear,32.86504919999999,-101.1688601,loamy_733,daytime,620ac9311ab84f533352d6bf,2022-02-05 10:25:23.542000-06:00,8.17578125
173263,1.7936706542968701,C:10-25,False,False,False,False,False,2022-09-28 19:11:26.875000-05:00,loamy,rear-left,rev1_rear,44.16317769999999,-96.6586395,loamy_756,daytime,6338f1e57b8de789bed93f01,2022-09-28 19:11:26.875000-05:00,10.87890625
225623,9.77554321289062,A:0-2,False,False,False,False,True,2021-09-20 20:00:33.845000-05:00,peaty,rear-left,rev1_rear,32.35181259999999,-91.9132146,peaty_02,nightime,614d292a81ec458314b6d39d,2021-09-20 20:00:33.845000-05:00,0.02734375
91561,0.0,C:10-25,False,False,False,False,False,2022-03-07 11:33:16.564000-06:00,loamy,front-left-right,rev1_side_front,30.92091209999998,-96.6528075,loamy_733,daytime,6280dbdad83fa120109f1cb9,2022-03-07 11:33:16.564000-06:00,16.0234375
197460,0.0,C:10-25,False,False,False,False,False,2022-09-18 18:38:18.461000-05:00,loamy,front-left-right,rev1_side_front,30.905614499999988,-96.6493164,loamy_756,daytime,6335423d31f13241b0637004,2022-09-18 18:38:18.461000-05:00,10.03125
182657,0.0,B:2-10,False,False,False,False,False,2023-05-17 13:16:31.879000-05:00,hitchhiker,T05,halo_side,47.02230239999999,-97.5792452,hitchhiker_121,daytime,6467dfd6c0411b763b6679b0,2023-05-17 13:16:31.879000-05:00,4.74609375
144292,0.0,A:0-2,False,False,False,False,False,2023-05-24 13:48:47.380000-05:00,loamy,front-left-left,rev1_side_front,41.76679669999999,-93.4897011,loamy_752,daytime,649488cc235017ddd0bf36eb,2023-05-24 13:48:47.380000-05:00,0.01171875
194117,0.0,A:0-2,False,False,False,False,False,2022-12-17 08:49:10.129000-06:00,loamy,front-center-left,rev1_front,26.70295289999999,-80.9800677,loamy_817,daytime,63a430d79870ee3281d8878d,2022-12-17 08:49:10.129000-06:00,0.34375
221891,2.39944458007812,A:0-2,False,False,False,False,False,2023-07-10 05:00:33.444000-05:00,loamy,front-center-right,rev1_front,42.47265949999999,-92.4335937,loamy_909,nightime,64b943ef96da59a3f4d9237c,2023-07-10 05:00:33.444000-05:00,0.03515625
215099,0.0,C:10-25,False,False,False,False,False,2022-04-27 17:59:12.203000-05:00,hitchhiker,side-right-left,rev1_side_rear,32.56902439999999,-91.409344,hitchhiker_25,daytime,62cc91e7659ab89856f08206,2022-04-27 17:59:12.203000-05:00,15.24609375
208346,0.0,D:25+,False,False,False,False,False,2023-06-29 19:15:31.382000-05:00,halohitchhiker,T15,halo_side,39.88538799999999,-103.4613416,halohitchhiker_122,daytime,64aecd192267229a9b2654f7,2023-06-29 19:15:31.382000-05:00,33.94140625
109210,0.0,A:0-2,False,False,False,False,False,2021-11-15 16:14:58.621000-06:00,peaty,front-left-left,rev1_side_front,41.776375,-93.2177383,peaty_04,daytime,6197733c2f974964c26b61c8,2021-11-15 16:14:58.621000-06:00,0.0078125
162338,0.0,A:0-2,False,False,False,False,False,2022-10-10 16:54:33.150000-05:00,hitchhiker,front-center-right,rev1_front,41.72004739999999,-88.5639701,hitchhiker_19,daytime,634a590b7bc309471b93f273,2022-10-10 16:54:33.150000-05:00,0.015625
161059,0.0,A:0-2,False,False,False,False,False,2023-05-20 13:24:24.830000-05:00,hitchhiker,T07,halo_side,47.02788779999999,-97.5955267,hitchhiker_121,daytime,646f7c66acc441cc610aaad9,2023-05-20 13:24:24.830000-05:00,0.015625
73048,0.0,C:10-25,False,False,False,False,False,2023-06-29 11:35:47.561000-05:00,halohitchhiker,T06,halo_side,35.53275029999999,-98.8758284,halohitchhiker_101,daytime,64af67654a70ce690b0f921c,2023-06-29 11:35:47.561000-05:00,10.21484375
199554,0.0,B:2-10,False,False,False,False,False,2021-10-01 08:59:22.849000-05:00,hitchhiker,front-center-right,rev1_front,41.64093989999998,-89.3252064,hitchhiker_03,daytime,61f4afb3c6e605761cf237a6,2021-10-01 08:59:22.849000-05:00,7.37890625
160836,0.0,C:10-25,False,False,False,False,False,2023-04-17 09:25:37.587000-05:00,hitchhiker,T05,halo_side,37.41722969999999,-87.7228515,hitchhiker_101,daytime,644759f267b82ed1f7353f5d,2023-04-17 09:25:37.587000-05:00,16.828125
95366,0.0,B:2-10,False,False,False,False,False,2021-11-19 13:08:38.117000-06:00,peaty,side-left-right,rev1_side_rear,41.77905439999998,-93.6314982,peaty_04,daytime,61b118b22918d423efd78810,2021-11-19 13:08:38.117000-06:00,7.015625
63846,0.0,A:0-2,False,False,False,False,False,2021-10-21 17:03:57.925000-05:00,loamy,front-left-left,rev1_side_front,35.67179519999999,-91.2476592,loamy_05,daytime,618196561fa0938ba4dafce6,2021-10-21 17:03:57.925000-05:00,0.01953125
43238,4.201507568359371,A:0-2,False,False,False,False,False,2021-12-10 19:44:51.449000-06:00,loamy,front-right-left,rev1_side_front,36.9527233,-121.5168374,loamy_06,nightime,61b43af52918d423efdd158d,2021-12-10 19:44:51.449000-06:00,0.0
