unique_id,id,camera_location,operation_time,special_notes,jdb_s3_path,state,human_state,vehicle_state,min_pixels_threshold,features
616dc26069b981ddf92a307e,616dc26069b981ddf92a307e,front-center-left,unknown,unknown,,large_object_true_positive,true_negative,,400,"{""large_object_pixels"": 405008, ""large_object_min_row"": 0, ""large_object_max_row"": 511, ""large_object_min_col"": 0, ""large_object_max_col"": 1023, ""implement_pixels"": 0, ""implement_min_row"": -1, ""implement_max_row"": -1, ""implement_min_col"": -1, ""implement_max_col"": -1, ""human_pixels"": 0, ""human_min_row"": -1, ""human_max_row"": -1, ""human_min_col"": -1, ""human_max_col"": -1, ""vehicle_pixels"": 113148, ""vehicle_min_row"": 14, ""vehicle_max_row"": 511, ""vehicle_min_col"": 0, ""vehicle_max_col"": 1019, ""confidence"": 0.142822265625, ""large_object_pixels_depth_filtered"": 405008, ""large_object_min_row_depth_filtered"": 0, ""large_object_max_row_depth_filtered"": 511, ""large_object_min_col_depth_filtered"": 0, ""large_object_max_col_depth_filtered"": 1023, ""implement_pixels_depth_filtered"": 0, ""implement_min_row_depth_filtered"": -1, ""implement_max_row_depth_filtered"": -1, ""implement_min_col_depth_filtered"": -1, ""implement_max_col_depth_filtered"": -1, ""human_pixels_depth_filtered"": 0, ""human_min_row_depth_filtered"": -1, ""human_max_row_depth_filtered"": -1, ""human_min_col_depth_filtered"": -1, ""human_max_col_depth_filtered"": -1, ""vehicle_pixels_depth_filtered"": 113148, ""vehicle_min_row_depth_filtered"": 14, ""vehicle_max_row_depth_filtered"": 511, ""vehicle_min_col_depth_filtered"": 0, ""vehicle_max_col_depth_filtered"": 1019}"
638950d62e943bec355ff301,638950d62e943bec355ff301,front-right-left,dawn_dusk,2660VT pivots,s3://blueriver-jupiter-data/events/jdb2/loamy/909/0/JUPD-097_2022-11-01__11_02_2022-23_46_28.jdb2,large_object_true_positive,true_negative,,400,"{""large_object_pixels"": 328140, ""large_object_min_row"": 0, ""large_object_max_row"": 511, ""large_object_min_col"": 0, ""large_object_max_col"": 1023, ""implement_pixels"": 0, ""implement_min_row"": -1, ""implement_max_row"": -1, ""implement_min_col"": -1, ""implement_max_col"": -1, ""human_pixels"": 0, ""human_min_row"": -1, ""human_max_row"": -1, ""human_min_col"": -1, ""human_max_col"": -1, ""vehicle_pixels"": 194516, ""vehicle_min_row"": 0, ""vehicle_max_row"": 511, ""vehicle_min_col"": 0, ""vehicle_max_col"": 1017, ""confidence"": 0.142822265625, ""large_object_pixels_depth_filtered"": 328140, ""large_object_min_row_depth_filtered"": 0, ""large_object_max_row_depth_filtered"": 511, ""large_object_min_col_depth_filtered"": 0, ""large_object_max_col_depth_filtered"": 1023, ""implement_pixels_depth_filtered"": 0, ""implement_min_row_depth_filtered"": -1, ""implement_max_row_depth_filtered"": -1, ""implement_min_col_depth_filtered"": -1, ""implement_max_col_depth_filtered"": -1, ""human_pixels_depth_filtered"": 0, ""human_min_row_depth_filtered"": -1, ""human_max_row_depth_filtered"": -1, ""human_min_col_depth_filtered"": -1, ""human_max_col_depth_filtered"": -1, ""vehicle_pixels_depth_filtered"": 194516, ""vehicle_min_row_depth_filtered"": 0, ""vehicle_max_row_depth_filtered"": 511, ""vehicle_min_col_depth_filtered"": 0, ""vehicle_max_col_depth_filtered"": 1017}"
6361168e86fcaabce95e663c,6361168e86fcaabce95e663c,front-center-left,daytime,water way,s3://blueriver-jupiter-data/peaty/jdb/peaty_07/2022/10_24_2022-19_12_44/10_24_2022-19_12_44.jdb,false_positive,true_negative,,400,"{""large_object_pixels"": 377196, ""large_object_min_row"": 0, ""large_object_max_row"": 511, ""large_object_min_col"": 0, ""large_object_max_col"": 1023, ""implement_pixels"": 0, ""implement_min_row"": -1, ""implement_max_row"": -1, ""implement_min_col"": -1, ""implement_max_col"": -1, ""human_pixels"": 0, ""human_min_row"": -1, ""human_max_row"": -1, ""human_min_col"": -1, ""human_max_col"": -1, ""vehicle_pixels"": 134184, ""vehicle_min_row"": 8, ""vehicle_max_row"": 511, ""vehicle_min_col"": 0, ""vehicle_max_col"": 1003, ""confidence"": 0.142822265625, ""large_object_pixels_depth_filtered"": 377196, ""large_object_min_row_depth_filtered"": 0, ""large_object_max_row_depth_filtered"": 511, ""large_object_min_col_depth_filtered"": 0, ""large_object_max_col_depth_filtered"": 1023, ""implement_pixels_depth_filtered"": 0, ""implement_min_row_depth_filtered"": -1, ""implement_max_row_depth_filtered"": -1, ""implement_min_col_depth_filtered"": -1, ""implement_max_col_depth_filtered"": -1, ""human_pixels_depth_filtered"": 0, ""human_min_row_depth_filtered"": -1, ""human_max_row_depth_filtered"": -1, ""human_min_col_depth_filtered"": -1, ""human_max_col_depth_filtered"": -1, ""vehicle_pixels_depth_filtered"": 134184, ""vehicle_min_row_depth_filtered"": 8, ""vehicle_max_row_depth_filtered"": 511, ""vehicle_min_col_depth_filtered"": 0, ""vehicle_max_col_depth_filtered"": 1003}"
63a27bdbcbea581aac048412,63a27bdbcbea581aac048412,side-right-left,daytime,Soybean with Manure,s3://blueriver-jupiter-data/loamy/jdb/loamy_799/2022/10_22_2022-18_41_25/10_22_2022-18_41_25_0.jdb2,false_positive,true_negative,,400,"{""large_object_pixels"": 419896, ""large_object_min_row"": 0, ""large_object_max_row"": 511, ""large_object_min_col"": 0, ""large_object_max_col"": 1023, ""implement_pixels"": 0, ""implement_min_row"": -1, ""implement_max_row"": -1, ""implement_min_col"": -1, ""implement_max_col"": -1, ""human_pixels"": 0, ""human_min_row"": -1, ""human_max_row"": -1, ""human_min_col"": -1, ""human_max_col"": -1, ""vehicle_pixels"": 96640, ""vehicle_min_row"": 14, ""vehicle_max_row"": 511, ""vehicle_min_col"": 0, ""vehicle_max_col"": 999, ""confidence"": 0.142822265625, ""large_object_pixels_depth_filtered"": 419896, ""large_object_min_row_depth_filtered"": 0, ""large_object_max_row_depth_filtered"": 511, ""large_object_min_col_depth_filtered"": 0, ""large_object_max_col_depth_filtered"": 1023, ""implement_pixels_depth_filtered"": 0, ""implement_min_row_depth_filtered"": -1, ""implement_max_row_depth_filtered"": -1, ""implement_min_col_depth_filtered"": -1, ""implement_max_col_depth_filtered"": -1, ""human_pixels_depth_filtered"": 0, ""human_min_row_depth_filtered"": -1, ""human_max_row_depth_filtered"": -1, ""human_min_col_depth_filtered"": -1, ""human_max_col_depth_filtered"": -1, ""vehicle_pixels_depth_filtered"": 96640, ""vehicle_min_row_depth_filtered"": 14, ""vehicle_max_row_depth_filtered"": 511, ""vehicle_min_col_depth_filtered"": 0, ""vehicle_max_col_depth_filtered"": 999}"
5f615886fe8915f92e719aec,5f615886fe8915f92e719aec,front-center-left,nightime,Autonomous - Night,,false_positive,true_negative,,400,"{""large_object_pixels"": 320568, ""large_object_min_row"": 0, ""large_object_max_row"": 511, ""large_object_min_col"": 0, ""large_object_max_col"": 1023, ""implement_pixels"": 0, ""implement_min_row"": -1, ""implement_max_row"": -1, ""implement_min_col"": -1, ""implement_max_col"": -1, ""human_pixels"": 0, ""human_min_row"": -1, ""human_max_row"": -1, ""human_min_col"": -1, ""human_max_col"": -1, ""vehicle_pixels"": 190720, ""vehicle_min_row"": 0, ""vehicle_max_row"": 509, ""vehicle_min_col"": 0, ""vehicle_max_col"": 1019, ""confidence"": 0.142822265625, ""large_object_pixels_depth_filtered"": 320568, ""large_object_min_row_depth_filtered"": 0, ""large_object_max_row_depth_filtered"": 511, ""large_object_min_col_depth_filtered"": 0, ""large_object_max_col_depth_filtered"": 1023, ""implement_pixels_depth_filtered"": 0, ""implement_min_row_depth_filtered"": -1, ""implement_max_row_depth_filtered"": -1, ""implement_min_col_depth_filtered"": -1, ""implement_max_col_depth_filtered"": -1, ""human_pixels_depth_filtered"": 0, ""human_min_row_depth_filtered"": -1, ""human_max_row_depth_filtered"": -1, ""human_min_col_depth_filtered"": -1, ""human_max_col_depth_filtered"": -1, ""vehicle_pixels_depth_filtered"": 190720, ""vehicle_min_row_depth_filtered"": 0, ""vehicle_max_row_depth_filtered"": 509, ""vehicle_min_col_depth_filtered"": 0, ""vehicle_max_col_depth_filtered"": 1019}"
5f8d846cb3dadf66ec7e8139,5f8d846cb3dadf66ec7e8139,side-right-left,nightime,night 40,,false_positive,true_negative,,400,"{""large_object_pixels"": 470580, ""large_object_min_row"": 0, ""large_object_max_row"": 511, ""large_object_min_col"": 0, ""large_object_max_col"": 1023, ""implement_pixels"": 0, ""implement_min_row"": -1, ""implement_max_row"": -1, ""implement_min_col"": -1, ""implement_max_col"": -1, ""human_pixels"": 0, ""human_min_row"": -1, ""human_max_row"": -1, ""human_min_col"": -1, ""human_max_col"": -1, ""vehicle_pixels"": 50488, ""vehicle_min_row"": 0, ""vehicle_max_row"": 511, ""vehicle_min_col"": 0, ""vehicle_max_col"": 1017, ""confidence"": 0.142822265625, ""large_object_pixels_depth_filtered"": 470580, ""large_object_min_row_depth_filtered"": 0, ""large_object_max_row_depth_filtered"": 511, ""large_object_min_col_depth_filtered"": 0, ""large_object_max_col_depth_filtered"": 1023, ""implement_pixels_depth_filtered"": 0, ""implement_min_row_depth_filtered"": -1, ""implement_max_row_depth_filtered"": -1, ""implement_min_col_depth_filtered"": -1, ""implement_max_col_depth_filtered"": -1, ""human_pixels_depth_filtered"": 0, ""human_min_row_depth_filtered"": -1, ""human_max_row_depth_filtered"": -1, ""human_min_col_depth_filtered"": -1, ""human_max_col_depth_filtered"": -1, ""vehicle_pixels_depth_filtered"": 50488, ""vehicle_min_row_depth_filtered"": 0, ""vehicle_max_row_depth_filtered"": 511, ""vehicle_min_col_depth_filtered"": 0, ""vehicle_max_col_depth_filtered"": 1017}"
63895073b87932ff73fd7373,63895073b87932ff73fd7373,front-right-left,dawn_dusk,2660VT Lowered Support Frame,s3://blueriver-jupiter-data/events/jdb2/loamy/909/0/JUPD-097_2022-11-01__11_01_2022-23_22_54.jdb2,large_object_true_positive,true_negative,,400,"{""large_object_pixels"": 230972, ""large_object_min_row"": 0, ""large_object_max_row"": 511, ""large_object_min_col"": 0, ""large_object_max_col"": 1023, ""implement_pixels"": 0, ""implement_min_row"": -1, ""implement_max_row"": -1, ""implement_min_col"": -1, ""implement_max_col"": -1, ""human_pixels"": 0, ""human_min_row"": -1, ""human_max_row"": -1, ""human_min_col"": -1, ""human_max_col"": -1, ""vehicle_pixels"": 279460, ""vehicle_min_row"": 8, ""vehicle_max_row"": 511, ""vehicle_min_col"": 0, ""vehicle_max_col"": 1017, ""confidence"": 0.142822265625, ""large_object_pixels_depth_filtered"": 230972, ""large_object_min_row_depth_filtered"": 0, ""large_object_max_row_depth_filtered"": 511, ""large_object_min_col_depth_filtered"": 0, ""large_object_max_col_depth_filtered"": 1023, ""implement_pixels_depth_filtered"": 0, ""implement_min_row_depth_filtered"": -1, ""implement_max_row_depth_filtered"": -1, ""implement_min_col_depth_filtered"": -1, ""implement_max_col_depth_filtered"": -1, ""human_pixels_depth_filtered"": 0, ""human_min_row_depth_filtered"": -1, ""human_max_row_depth_filtered"": -1, ""human_min_col_depth_filtered"": -1, ""human_max_col_depth_filtered"": -1, ""vehicle_pixels_depth_filtered"": 279460, ""vehicle_min_row_depth_filtered"": 8, ""vehicle_max_row_depth_filtered"": 511, ""vehicle_min_col_depth_filtered"": 0, ""vehicle_max_col_depth_filtered"": 1017}"
638e88b57595a6cae9ff7c36,638e88b57595a6cae9ff7c36,front-center-left,nightime,2660 _vt_dust_night,s3://blueriver-jupiter-data/events/jdb2/loamy/909/0/JUPD-165_2022-10-18__10_21_2022-05_47_30.jdb2,false_positive,true_negative,,400,"{""large_object_pixels"": 362988, ""large_object_min_row"": 0, ""large_object_max_row"": 511, ""large_object_min_col"": 0, ""large_object_max_col"": 1023, ""implement_pixels"": 0, ""implement_min_row"": -1, ""implement_max_row"": -1, ""implement_min_col"": -1, ""implement_max_col"": -1, ""human_pixels"": 0, ""human_min_row"": -1, ""human_max_row"": -1, ""human_min_col"": -1, ""human_max_col"": -1, ""vehicle_pixels"": 161164, ""vehicle_min_row"": 0, ""vehicle_max_row"": 511, ""vehicle_min_col"": 0, ""vehicle_max_col"": 1017, ""confidence"": 0.142822265625, ""large_object_pixels_depth_filtered"": 362988, ""large_object_min_row_depth_filtered"": 0, ""large_object_max_row_depth_filtered"": 511, ""large_object_min_col_depth_filtered"": 0, ""large_object_max_col_depth_filtered"": 1023, ""implement_pixels_depth_filtered"": 0, ""implement_min_row_depth_filtered"": -1, ""implement_max_row_depth_filtered"": -1, ""implement_min_col_depth_filtered"": -1, ""implement_max_col_depth_filtered"": -1, ""human_pixels_depth_filtered"": 0, ""human_min_row_depth_filtered"": -1, ""human_max_row_depth_filtered"": -1, ""human_min_col_depth_filtered"": -1, ""human_max_col_depth_filtered"": -1, ""vehicle_pixels_depth_filtered"": 161164, ""vehicle_min_row_depth_filtered"": 0, ""vehicle_max_row_depth_filtered"": 511, ""vehicle_min_col_depth_filtered"": 0, ""vehicle_max_col_depth_filtered"": 1017}"
5fe3b3630cff35ad92c675e4,5fe3b3630cff35ad92c675e4,side-right-left,daytime,,,true_positive,false_negative,,400,"{""large_object_pixels"": 330372, ""large_object_min_row"": 0, ""large_object_max_row"": 511, ""large_object_min_col"": 0, ""large_object_max_col"": 1023, ""implement_pixels"": 0, ""implement_min_row"": -1, ""implement_max_row"": -1, ""implement_min_col"": -1, ""implement_max_col"": -1, ""human_pixels"": 0, ""human_min_row"": -1, ""human_max_row"": -1, ""human_min_col"": -1, ""human_max_col"": -1, ""vehicle_pixels"": 180692, ""vehicle_min_row"": 26, ""vehicle_max_row"": 511, ""vehicle_min_col"": 0, ""vehicle_max_col"": 1019, ""confidence"": 0.142822265625, ""large_object_pixels_depth_filtered"": 330372, ""large_object_min_row_depth_filtered"": 0, ""large_object_max_row_depth_filtered"": 511, ""large_object_min_col_depth_filtered"": 0, ""large_object_max_col_depth_filtered"": 1023, ""implement_pixels_depth_filtered"": 0, ""implement_min_row_depth_filtered"": -1, ""implement_max_row_depth_filtered"": -1, ""implement_min_col_depth_filtered"": -1, ""implement_max_col_depth_filtered"": -1, ""human_pixels_depth_filtered"": 0, ""human_min_row_depth_filtered"": -1, ""human_max_row_depth_filtered"": -1, ""human_min_col_depth_filtered"": -1, ""human_max_col_depth_filtered"": -1, ""vehicle_pixels_depth_filtered"": 180692, ""vehicle_min_row_depth_filtered"": 26, ""vehicle_max_row_depth_filtered"": 511, ""vehicle_min_col_depth_filtered"": 0, ""vehicle_max_col_depth_filtered"": 1019}"
61459cd69c6a3e17cd9c4c8a,61459cd69c6a3e17cd9c4c8a,rear-left,nightime,telephone pole,s3://blueriver-jupiter-data/loamy/jdb/loamy_05/2021/09_13_2021-01_12_13/09_13_2021-01_12_13.jdb,large_object_true_positive,true_negative,,400,"{""large_object_pixels"": 454496, ""large_object_min_row"": 0, ""large_object_max_row"": 511, ""large_object_min_col"": 0, ""large_object_max_col"": 1023, ""implement_pixels"": 0, ""implement_min_row"": -1, ""implement_max_row"": -1, ""implement_min_col"": -1, ""implement_max_col"": -1, ""human_pixels"": 0, ""human_min_row"": -1, ""human_max_row"": -1, ""human_min_col"": -1, ""human_max_col"": -1, ""vehicle_pixels"": 69552, ""vehicle_min_row"": 0, ""vehicle_max_row"": 511, ""vehicle_min_col"": 0, ""vehicle_max_col"": 1017, ""confidence"": 0.142822265625, ""large_object_pixels_depth_filtered"": 454496, ""large_object_min_row_depth_filtered"": 0, ""large_object_max_row_depth_filtered"": 511, ""large_object_min_col_depth_filtered"": 0, ""large_object_max_col_depth_filtered"": 1023, ""implement_pixels_depth_filtered"": 0, ""implement_min_row_depth_filtered"": -1, ""implement_max_row_depth_filtered"": -1, ""implement_min_col_depth_filtered"": -1, ""implement_max_col_depth_filtered"": -1, ""human_pixels_depth_filtered"": 0, ""human_min_row_depth_filtered"": -1, ""human_max_row_depth_filtered"": -1, ""human_min_col_depth_filtered"": -1, ""human_max_col_depth_filtered"": -1, ""vehicle_pixels_depth_filtered"": 69552, ""vehicle_min_row_depth_filtered"": 0, ""vehicle_max_row_depth_filtered"": 511, ""vehicle_min_col_depth_filtered"": 0, ""vehicle_max_col_depth_filtered"": 1017}"
