Collection set,Camera Pod,Video ID,Time,Vehicle type,Vehicle color,Human pose,Notes
March 29th and 30th,Rear,7,Day,Pickup,white,,
March 29th and 30th,Front,7,Day,Pickup,white,,
March 29th and 30th,Rear,8,Day,Pickup,white,,
March 29th and 30th,Rear,9,Day,Pickup,white,,
March 29th and 30th,Front,9,Day,Pickup,white,,
March 29th and 30th,Rear,10,Day,Pickup,white,,
March 29th and 30th,Front,11,Day,Midsized SUV,white,,
March 29th and 30th,Rear,13,Day,Midsized SUV,white,,
March 29th and 30th,Rear,14,Day,Midsized SUV,white,,
March 29th and 30th,Rear,15,Day,Midsized SUV,white,,
March 29th and 30th,Front,14,Day,Midsized SUV,white,,
March 29th and 30th,Rear,16,Day,Midsized SUV,white,,
March 29th and 30th,Rear,23,Dusk,Midsized SUV,white,,
March 29th and 30th,Front,21,Dusk,Midsized SUV,white,,
March 29th and 30th,Front,22,Dusk,Midsized SUV,white,,
March 29th and 30th,Rear,24,Dusk,Midsized SUV,white,,
March 29th and 30th,Front,23,Dusk,Midsized SUV,white,,
March 29th and 30th,Rear,25,Dusk,Midsized SUV,white,,
March 29th and 30th,Front,24,Dusk,Midsized SUV,white,,
March 29th and 30th,Rear,26,Dusk,Midsized SUV,white,,
March 29th and 30th,Rear,27,Dusk,Range (gator),green,,
March 29th and 30th,Front,26,Dusk,Range (gator),green,,
March 29th and 30th,Rear,28,Dusk,Range (gator),green,,
March 29th and 30th,Front,28,Dusk,Range (gator),green,,
March 29th and 30th,Rear,29,Dusk,Range (gator),green,,
March 29th and 30th,Front,29,Dusk,Range (gator),green,,
March 29th and 30th,Rear,30,Dusk,Range (gator),green,,
March 29th and 30th,Rear,31,Dusk,Pickup,white,,
March 29th and 30th,Front,31,Dusk,Pickup,white,,
March 29th and 30th,Front,32,Dusk,Pickup,white,,
March 29th and 30th,Rear,32,Dusk,Pickup,white,,
March 29th and 30th,Front,33,Dusk,Pickup,white,,
March 29th and 30th,Rear,33,Dusk,Pickup,white,,
March 29th and 30th,Front,34,Dusk,Pickup,white,,
March 29th and 30th,Rear,34,Dusk,Pickup,white,,
March 29th and 30th,Front,40,Dusk,Human,gray,stand,
March 29th and 30th,Front,41,Dusk,Human,gray,laying down,
March 29th and 30th,Front,43,Dusk,Human,gray,stand,
March 29th and 30th,Rear,43,Dusk,Human,gray,stand,
March 29th and 30th,Front,47,Night,Midsized SUV,white,,
March 29th and 30th,Rear,47,Night,Midsized SUV,white,,
March 29th and 30th,Front,48,Night,Midsized SUV,white,,
March 29th and 30th,Rear,48,Night,Midsized SUV,white,,
March 29th and 30th,Front,49,Night,Midsized SUV,white,,
March 29th and 30th,Rear,49,Night,Midsized SUV,white,,
March 29th and 30th,Rear,50,Night,Midsized SUV,white,,
March 29th and 30th,Rear,51,Night,Midsized SUV,white,,
March 29th and 30th,Front,51,Night,Midsized SUV,white,,
March 29th and 30th,Front,53,Night,Pickup,white,,
March 29th and 30th,Rear,53,Night,Pickup,white,,
March 29th and 30th,Front,54,Night,Pickup,white,,
March 29th and 30th,Rear,54,Night,Pickup,white,,
March 29th and 30th,Rear,55,Night,Pickup,white,,
March 29th and 30th,Rear,56,Night,Pickup,white,,
March 29th and 30th,Rear,58,Night,Range (gator),green,,
March 29th and 30th,Front,59,Night,Range (gator),green,,
March 29th and 30th,Rear,59,Night,Range (gator),green,,
March 29th and 30th,Front,60,Night,Range (gator),green,,
March 29th and 30th,Rear,60,Night,Range (gator),green,,
March 29th and 30th,Rear,61,Night,Range (gator),green,,
March 29th and 30th,Front,66,Night,Human,gray,stand,
March 29th and 30th,Front,67,Night,Human,gray,stand,
March 29th and 30th,Front,68,Night,Human,gray,stand,
March 29th and 30th,Front,69,Night,Human,gray,stand,
March 29th and 30th,Front,70,Night,Human,gray,stand,
March 29th and 30th,Front,71,Night,Human,gray,stand,
April 5th,Front,0,Day,Range (gator),green,,
April 5th,Front,3,Day,Range (gator),green,,
April 5th,Rear,1,Day,Range (gator),green,,
April 5th,Front,4,Day,Range (gator),green,,
April 5th,Rear,2,Day,Range (gator),green,,
April 5th,Rear,3,Day,Range (gator),green,,
April 5th,Front,6,Day,Range (gator),green,,
April 5th,Rear,4,Day,Range (gator),green,,
April 5th,Front,7,Day,Range (gator),green,,
April 5th,Rear,5,Day,Range (gator),green,,
April 5th,Front,8,Day,Range (gator),green,,
April 5th,Rear,6,Day,Range (gator),green,,
April 5th,Front,9,Day,Pickup,gray,,
April 5th,Rear,8,Day,Pickup,gray,,
April 5th,Front,10,Day,Pickup,gray,,
April 5th,Rear,9,Day,Pickup,gray,,
April 5th,Front,12,Day,Pickup,gray,,first half stationary
April 5th,Rear,11,Day,Pickup,gray,,first two thirds stationary
April 5th,Rear,13,Day,Pickup,gray,,
April 5th,Front,14,Day,Pickup,gray,,
April 5th,Front,16,Day,Midsized SUV,black,,
April 5th,Front,17,Day,Midsized SUV,black,,
April 5th,Rear,14,Day,Midsized SUV,black,,
April 5th,Front,18,Day,Midsized SUV,black,,
April 5th,Front,19,Day,Midsized SUV,black,,
April 5th,Rear,15,Day,Midsized SUV,black,,
April 5th,Rear,16,Day,Pickup,white,,
April 5th,Rear,17,Day,Pickup,white,,
April 5th,Rear,18,Day,Pickup,white,,
April 5th,Front,21,Day,Pickup,white,,
April 5th,Front,22,Day,Human,black,stand,
April 5th,Front,23,Day,Human,black,sit,first half stationary
April 5th,Front,24,Day,Human,black,stand,first half stationary
April 5th,Rear,19,Day,Human,black,stand,
April 5th,Rear,20,Day,Human,black,stand,
April 5th,Front,28,Day,Human,black,stand,
April 5th,Rear,22,Day,Human,black,stand,
April 5th,Front,29,Day,Human,black,stand,
April 5th,Front,30,Day,Human,black,sit,
April 5th,Front,31,Day,Human,black,stand,first half stationary
April 5th,Rear,24,Day,Human,black,stand,first half stationary
April 5th,Front,32,Day,Human,black,stand,
April 5th,Rear,25,Day,Human,black,stand,
April 5th,Front,33,Day,Human,black,stand,
April 5th,Front,37,Dusk,Human,black,stand,
April 5th,Rear,29,Dusk,Human,black,stand,
